panel_code,panel_name,procedure_code,procedure_name,speciality,max_stay,package_inclusions,package_exclusions,tier1_code,tier1_rate,tier2_code,tier2_rate,tier3_code,tier3_rate,tier4_code,tier4_rate
GALAXY,GALAXY,GAL-1,FESS Unilateral,,,,,DLX,40100,SHR,36100,GW,32100,,
GALAXY,GALAXY,GAL-2,"INVESTIGATION CHARGES Total Amount of Bills (2526/01849) Rs"" 2400 And Less Adv Recvd in Diagnostic Rs- 0.00 DOCTOR VisiT SHAMIK GOPE (REFG: 2215] IvISIT X Rs2000.00",,,,,DLX,240000,SHR,240000,GW,,,
GALAXY,GALAXY,GAL-3,FESS Septoplasty with turbinectomy or polypectomy conchoplasty Unilateral FESS + Septoplasty with turbinectomy or Polypectomy Conchoplasty Bilateral Tympanoplasty AII Types of Tympanoplasty including ,,,,,DLX,38300,SHR,34400,GW,30600,,
GALAXY,GALAXY,GAL-4,"Tonsillectomy - Excluding Coblation Wand & LASER (charges Wand charges maximum payable Rs.10000 & LASER charges maximum payable Rs.5000 if used, wherever applicable",,,,,DLX,30600,SHR,27600,GW,24500,,
GALAXY,GALAXY,GAL-5,"Tonsillectomy & Adenoidectomy Excluding Coblation Wand & LASER charges Wand charges maximum payable Rs.1OOOOILASER charges maximum payable Rs.5000 if used, wherever applicable",,,,,DLX,33700,SHR,30300,GW,26900,,
GALAXY,GALAXY,GAL-6,Adenoidectomy Excluding Coblation Wand & LASER charges Wand charges maximum payable Rs.10000/ LASER charges maximum payable Rs.5000 if used; (wherever applicable,,,,,DLX,30600,SHR,27600,GW,24500,,
GALAXY,GALAXY,GAL-10,Microlaryngeal excision of NodulelPolypICysts,,,,,DLX,40800,SHR,36700,GW,32700,,
GALAXY,GALAXY,GAL-12,Myringotomy with grommet insertion,,,,,DLX,32700,SHR,29400,GW,26100,,
GALAXY,GALAXY,GAL-13,Septoplasty,,,,,DLX,29200,SHR,26200,GW,23300,,
GALAXY,GALAXY,GAL-15,Septoplasty with Turbinoplasty Bilateral Turbinates,,,,,DLX,36500,SHR,32800,GW,29200,,
GALAXY,GALAXY,GAL-16,Removal of Submandibular Salivary gland,,,,,DLX,43300,SHR,38900,GW,34600,,
GALAXY,GALAXY,GAL-17,Superficial parotidectomy,,,,,DLX,50500,SHR,45400,GW,40400,,
GALAXY,GALAXY,GAL-19,Thyroglossal Cyst Excision,,,,,DLX,43300,SHR,38900,GW,34600,,
GALAXY,GALAXY,GAL-20,Thyroglossal Fistula Excision,,,,,DLX,43300,SHR,38900,GW,34600,,
GALAXY,GALAXY,GAL-21,Open Appendicectomy (Pediatric/Adult),,,,,DLX,43700,SHR,39400,GW,35000,,
GALAXY,GALAXY,GAL-22,ILaparoscopic - Appendicectomy (PediatriclAdult),,,,,DLX,45900,SHR,40800,GW,,,
GALAXY,GALAXY,GAL-23,Open - Cholecystectomy (Pediatric/Adult),,,,,DLX,51000,SHR,45900,GW,40800,,
GALAXY,GALAXY,GAL-24,Laparoscopic - Cholecystectomy (Pediatric/Adult),,,,,DLX,58300,SHR,52500,GW,46700,,
GALAXY,GALAXY,GAL-25,Circumcision (Day Care),,,,,DLX,15300,SHR,15300,GW,15300,,
GALAXY,GALAXY,GAL-26,Fissurectomy with Sphincterotomy,,,,,DLX,25500,SHR,23000,GW,20400,,
GALAXY,GALAXY,GAL-27,(Fistulectomy 27 Low (Including cost of Laser) with Sphincterotomy (Fistulectomy 28 High (Including cost of Laser) with Sphincterotomy Haemorrhoidectomy 29 (Stapler Routine) - Excluding Cost Jof Stapl,,,,,DLX,25500,SHR,23000,GW,20400,,
GALAXY,GALAXY,GAL-32,Herniorraphy Inguinal,,,,,DLX,36500,SHR,32800,GW,29200,,
GALAXY,GALAXY,GAL-33,Hernioplasty 32 Inguinal Femoral Unilateral - Including Mesh cost worth Rs.7000,,,,,DLX,36500,SHR,32800,GW,29200,,
GALAXY,GALAXY,GAL-35,Hernioplasty Umblical Paraumblical - Including Mesh cost worth Rs.7000,,,,,DLX,43700,SHR,39400,GW,35000,,
GALAXY,GALAXY,GAL-36,Laparoscopic Hernioplasty - Inguinal Unilateral lIncluding Mesh cost worth Rs.7000 Tackers Excluded,,,,,DLX,43700,SHR,39400,GW,35000,,
GALAXY,GALAXY,GAL-39,Laparoscopic Hernioplasty Incisional Ventral - Including Mesh cost worth Rs.7000 Tackers Excluded,,,,,DLX,58300,SHR,52500,GW,46700,,
GALAXY,GALAXY,GAL-41,Right or Left Hemicolectomy,,,,,DLX,79600,SHR,71600,GW,63700,,
GALAXY,GALAXY,GAL-42,Lymph Node Biopsy (Cervical Axillary / Inguinal) Under GA,,,,,DLX,20400,SHR,18400,GW,16300,,
GALAXY,GALAXY,GAL-43,Perianal Abcess (I&D),,,,,DLX,29200,SHR,26200,GW,23300,,
GALAXY,GALAXY,GAL-45,Pilonidal Sinus with Flap Cover,,,,,DLX,66800,SHR,60100,GW,53500,,
GALAXY,GALAXY,GAL-46,Modified Radical Mastectomy,,,,,DLX,61200,SHR,55100,GW,49000,,
GALAXY,GALAXY,GAL-50,Simple Mastectomy,,,,,DLX,51000,SHR,45900,GW,40800,,
