panel_code,panel_name,procedure_code,procedure_name,speciality,max_stay,package_inclusions,package_exclusions,tier1_code,tier1_rate,tier2_code,tier2_rate,tier3_code,tier3_rate,tier4_code,tier4_rate
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN C 02,"Angiography with Angioplasty (Staplers, guidewire, balloon, catheter included in the package) CABG Valve Replacement Temporary Pace",ENT,,"L1,L3,L4",,GEN,47150,SEMI,55200,PVT,62100,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN C 03,PPN C 03,ENT,,"L1,L3,L4",,GEN,51750,SEMI,59800,PVT,66700,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN C 04,PPN C 04,ENT,,"L1,L2,L3",,GEN,132250,SEMI,136850,PVT,144900,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN C 07,PPN C 07,ENT,,"L1,L3",,GEN,28750,SEMI,140300,PVT,37950,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN C 08,Tonsillectomy/Adenoidectomy(laser and Coblation) Adenotonsillectomy,ENT,,"L1,L2,L3,L4",,GEN,21850,SEMI,23900,PVT,25300,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN E 02,PPN E 02,ENT,,"L1,L2,L3,L4",,GEN,20700,SEMI,25300,PVT,29900,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN E 06,PPN E 06,ENT,,"L1,L2,L3,L4",,GEN,21850,SEMI,24150,PVT,25300,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN E 07,PPN E 07,ENT,,"L1,L2,L3,L4",,GEN,27600,SEMI,50600,PVT,29900,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN E 11,PPN E 11,ENT,,"L1,L2,L3,L4",,GEN,42550,SEMI,12650,PVT,13800,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN G 01,PPN G 01,ENT,,"L1,L3,L4",L2,GEN,25960,SEMI,28320,PVT,30680,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN G 07 A,Cholecystectomy (LAP),ENT,,"L1,L2,L4",,GEN,5741,SEMI,37760,PVT,27140,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN G 09 B,PPN G 09 B,ENT,,"L1,L2,L3,L4",,GEN,54280,SEMI,60180,PVT,,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN G 10,PPN G 10,ENT,,"L1,L2,L3,L4",,GEN,42480,SEMI,47200,PVT,51920,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN G 11,hernioplasty-unilateral linguinal/ femoral hernioplasty-bilateral umblicalhernioplasty ircisionai hernioplasty Circumcision (day car,ENT,,"L1,L3",,GEN,41300,SEMI,57820,PVT,42480,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN G 16,PPN G 16,ENT,,"L1,L2,L3",,GEN,12980,SEMI,27140,PVT,16520,,
