panel_code,panel_name,procedure_code,procedure_name,speciality,max_stay,package_inclusions,package_exclusions,tier1_code,tier1_rate,tier2_code,tier2_rate,tier3_code,tier3_rate,tier4_code,tier4_rate
HDFC_ERGO,HDFC_ERGO,HDFC-10,Tonsillectomy/Adenoidectomy (Laser and Coblation),ENT,,"L1,L2,L3,L4",L2,GEN,12600,SEMI,140001,PVT,16800,,
HDFC_ERGO,HDFC_ERGO,HDFC-11,Adenotonsillectomy,ENT,,"L1,L3",L2,GEN,57400,SEMI,67200,PVT,75600,,
HDFC_ERGO,HDFC_ERGO,HDFC-12,Tympanoplasty,ENT,,"L1,L2,L3,L4",L2,GEN,46200,SEMI,50400,PVT,46200,,
HDFC_ERGO,HDFC_ERGO,HDFC-13,Mastoidectomy,ENT,,"L1,L2,L3",L2,GEN,266001,SEMI,29400,PVT,30800,,
HDFC_ERGO,HDFC_ERGO,HDFC-14,Mastoidectomy & Tympanoplasty FESS WITH SEPTOPLASTY & turbinectomy or polypectomy or,ENT,,"L1,L2,L3,L4",L2,GEN,15400,SEMI,15400,PVT,16800,,
HDFC_ERGO,HDFC_ERGO,HDFC-15,conchoplasty-unilateral FFESS WITH SEPTOPLASTY & turbinectomy or polypectomy or,ENT,,"L1,L3,L4",L2,GEN,30800,SEMI,33600,PVT,36400,,
HDFC_ERGO,HDFC_ERGO,HDFC-16,conchoplasty-bilateral,ENT,,,L2,GEN,117600,SEMI,127400,PVT,14000,,
HDFC_ERGO,HDFC_ERGO,HDFC-17,Cortical Mastoidectomy with myringoplasty,ENT,,L2,L2,GEN,58800,SEMI,107800,PVT,120400,,
HDFC_ERGO,HDFC_ERGO,HDFC-18,Peritonsillar abscess drainage (day care),ENT,,"L1,L3,L4",L2,GEN,84000,SEMI,68600,PVT,74200,,
HDFC_ERGO,HDFC_ERGO,HDFC-19,Microlaryngeal surgeries for cysts and polyps,ENT,,"L1,L3,L4",,GEN,180600,SEMI,117600,PVT,117600,,
HDFC_ERGO,HDFC_ERGO,HDFC-21,Haemorrhoidectomy (stapler /tackers excluded),ENT,,,,GEN,180600,SEMI,210000,PVT,250600,,
HDFC_ERGO,HDFC_ERGO,HDFC-22,Haemorrhoidectomy fissurectomy (stapler/tackers Excluded),ENT,,,,GEN,117600,SEMI,124600,PVT,131600,,
HDFC_ERGO,HDFC_ERGO,HDFC-23,Fissurectomy and fissure dilatation,ENT,,,,GEN,117600,SEMI,124600,PVT,131600,,
HDFC_ERGO,HDFC_ERGO,HDFC-24,High end fistulectomy_,ENT,,"L1,L2,L3,L4",L2,GEN,61600,SEMI,65800,PVT,72800,,
HDFC_ERGO,HDFC_ERGO,HDFC-25,Low end fistulectomy,ENT,,L1,,GEN,35000,SEMI,28000,PVT,42000,,
HDFC_ERGO,HDFC_ERGO,HDFC-26,Appendectomy- ~Lap,ENT,,"L1,L2,L3,L4",L2,GEN,134400,SEMI,145600,PVT,159600,,
HDFC_ERGO,HDFC_ERGO,HDFC-27,Appendectomy-Open,ENT,,"L1,L2,L3,L4",L2,GEN,89600,SEMI,99400,PVT,109200,,
